Title,Price,Mileage,Year,Sales Tax,Wear and Tear
2020 Nissan Rogue Sport S AWD,22790.0,8109,2020,911.6,"[(8109, 810.9)]"
2018 Subaru Legacy 2.5i Premium AWD,20382.0,34195,2018,815.3,"[(34195, 3419.5)]"
2021 Nissan Rogue S AWD,25990.0,18304,2021,1039.6,"[(18304, 1830.4)]"
2018 RAM 2500 Laramie Crew Cab 4WD,47950.0,75330,2018,1918.0,"[(75330, 7533.0)]"
2018 RAM 1500 Laramie Crew Cab 4WD,28370.0,100933,2018,1134.8,"[(100933, 10093.3)]"
2017 RAM 3500 Laramie Crew Cab 4WD,48750.0,26398,2017,1950.0,"[(26398, 2639.8)]"
2017 Subaru Forester 2.5i,16995.0,71788,2017,679.8,"[(71788, 7178.8)]"
2019 Volkswagen Tiguan SE 4Motion,20995.0,82473,2019,839.8,"[(82473, 8247.3)]"
2019 Jeep Grand Cherokee Limited 4WD,28810.0,49997,2019,1152.4,"[(49997, 4999.7)]"
2019 BMW X1 xDrive28i AWD,30301.0,16278,2019,1212.0,"[(16278, 1627.8)]"
2023 Hyundai Santa Fe XRT AWD,33981.0,3688,2023,1359.2,"[(3688, 368.8)]"
2022 Hyundai Sonata SEL Plus FWD,28598.0,4568,2022,1143.9,"[(4568, 456.8)]"
2021 Nissan Rogue Platinum AWD,31990.0,33842,2021,1279.6,"[(33842, 3384.2)]"
2023 Audi Q3 quattro Premium Plus S Line 45 TFSI AWD,42956.0,2285,2023,1718.2,"[(2285, 228.5)]"
2020 Toyota RAV4 XLE AWD,29998.0,19849,2020,1199.9,"[(19849, 1984.9)]"
